dataset,method,fitness_rule,fitness,ACC,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff,solution
adult_dataset_reader,mlp_auto_reg_initializer,mcc_parity,0.3911032360298769,0.8488667772249862,0.5723922009859669,0.1084532829084471,0.1812889649560899,0.1461186775726236,"{'l2': 0.01, 'corr_type': 'spearman'}"
adult_dataset_reader,mlp_auto_reg_initializer,mcc_odds,0.4751546214431502,0.8507462686567164,0.5829601497214062,0.1078055282782559,0.1945835452598686,0.1401043120732976,"{'l2': 0.0001, 'corr_type': 'none'}"
adult_dataset_reader,mlp_auto_reg_initializer,mcc_opportunity,0.5002390870294583,0.8486456605859591,0.5755521691045187,0.0750262201274249,0.1821498398905331,0.0753130820750603,"{'l2': 0.001, 'corr_type': 'pearson'}"
adult_dataset_reader,mlp_auto_reg_initializer,acc_parity,0.6716355420670377,0.8414593698175787,0.5454955744208059,0.075938028272591,0.169823827750541,0.0786957149221607,"{'l2': 0.001, 'corr_type': 'none'}"
adult_dataset_reader,mlp_auto_reg_initializer,acc_odds,0.7356766127796213,0.851077943615257,0.5875587663919252,0.1154013308356358,0.1998204264870931,0.141172278638874,"{'l2': 0.01, 'corr_type': 'pearson'}"
adult_dataset_reader,mlp_auto_reg_initializer,acc_opportunity,0.7502681684822312,0.8560530679933664,0.5851189561744001,0.0944270460247555,0.19100003624633,0.1057848995111352,"{'l2': 0.01, 'corr_type': 'spearman'}"
bank_dataset_reader,mlp_auto_reg_initializer,mcc_parity,0.3976224364628969,0.9006231551328304,0.482489322922194,0.0262960883892428,0.0848668864592971,0.0068763490595127,"{'l2': 0.01, 'corr_type': 'spearman'}"
bank_dataset_reader,mlp_auto_reg_initializer,mcc_odds,0.4547904375171605,0.9065267300754346,0.5489906676524189,0.0942002301352584,0.1410810853236427,0.1433087783916513,"{'l2': 0.01, 'corr_type': 'pearson'}"
bank_dataset_reader,mlp_auto_reg_initializer,mcc_opportunity,0.521839057974987,0.9034109544112824,0.5250948055117569,0.0207379671041691,0.078804771441544,0.0032557475367699,"{'l2': 0.001, 'corr_type': 'none'}"
bank_dataset_reader,mlp_auto_reg_initializer,acc_parity,0.8556475781446395,0.902918989832732,0.5189422187038102,0.049672756776728,0.0472714116880924,0.0941792313543018,"{'l2': 0.0001, 'corr_type': 'spearman'}"
bank_dataset_reader,mlp_auto_reg_initializer,acc_odds,0.8668079381768006,0.9066907182682848,0.5469245412306987,0.0398827800914841,0.0756838374762903,0.0529685264663805,"{'l2': 0.0001, 'corr_type': 'none'}"
bank_dataset_reader,mlp_auto_reg_initializer,acc_opportunity,0.7796477639044445,0.8993112495900295,0.5304512737866925,0.0953615544009819,0.1430520719297516,0.119663485685585,"{'l2': 0.001, 'corr_type': 'pearson'}"
compas_dataset_reader,mlp_auto_reg_initializer,mcc_parity,0.0607923130707958,0.6620745542949756,0.3070954335678076,0.214535468989081,0.2463031204970117,0.2044772837225668,"{'l2': 0.001, 'corr_type': 'none'}"
compas_dataset_reader,mlp_auto_reg_initializer,mcc_odds,0.1011676622091992,0.6523500810372771,0.2930754877697047,0.1919078255605054,0.2093363831225814,0.1674506548607267,"{'l2': 0.001, 'corr_type': 'spearman'}"
compas_dataset_reader,mlp_auto_reg_initializer,mcc_opportunity,0.0785829770754198,0.6304700162074555,0.2511791309215737,0.1581503093161275,0.1858253799929303,0.1725961538461539,"{'l2': 0.001, 'corr_type': 'pearson'}"
compas_dataset_reader,mlp_auto_reg_initializer,acc_parity,0.432165108870898,0.6677471636952999,0.3344420258063033,0.2033284376552689,0.2355820548244018,0.180880248091603,"{'l2': 0.001, 'corr_type': 'spearman'}"
compas_dataset_reader,mlp_auto_reg_initializer,acc_odds,0.5135887645255202,0.6515397082658023,0.2979146154299912,0.1379509437402821,0.1644821042411404,0.0604693486590038,"{'l2': 0.0001, 'corr_type': 'none'}"
compas_dataset_reader,mlp_auto_reg_initializer,acc_opportunity,0.4402046953940065,0.6482982171799028,0.2881054224105635,0.2200640769102641,0.2502016129032257,0.2080935217858962,"{'l2': 0.0001, 'corr_type': 'spearman'}"
german_dataset_reader,mlp_auto_reg_initializer,mcc_parity,0.1814299838017645,0.775,0.3857950631668438,0.2572682495579692,0.2043650793650793,0.1158878504672896,"{'l2': 0.0001, 'corr_type': 'spearman'}"
german_dataset_reader,mlp_auto_reg_initializer,mcc_odds,0.2537809841846364,0.755,0.2941986746023268,0.0404176904176903,0.0215924426450742,0.0171990171990171,"{'l2': 0.0001, 'corr_type': 'spearman'}"
german_dataset_reader,mlp_auto_reg_initializer,mcc_opportunity,0.3273789002103416,0.76,0.3705827837054873,0.1137072049054676,0.1037384300997715,0.0432038834951457,"{'l2': 0.0001, 'corr_type': 'spearman'}"
german_dataset_reader,mlp_auto_reg_initializer,acc_parity,0.6180882352941176,0.71,0.2093383701060531,0.0861099817327019,0.0919117647058823,0.0359562272016675,"{'l2': 0.01, 'corr_type': 'none'}"
german_dataset_reader,mlp_auto_reg_initializer,acc_odds,0.7131121472979436,0.73,0.2927156205049848,0.0168878527020563,0.0007361059992638,0.0122549019607842,"{'l2': 0.01, 'corr_type': 'pearson'}"
german_dataset_reader,mlp_auto_reg_initializer,acc_opportunity,0.7332065217391305,0.74,0.4288517459397937,0.0158683944592329,0.0343791321072244,0.0067934782608695,"{'l2': 0.0001, 'corr_type': 'pearson'}"
adult_dataset_reader,mlp_auto_reg_initializer,mcc_parity,0.3918669399492375,0.8495301271420674,0.5715919249115383,0.0615058818155893,0.1797249849623008,0.0498456640399009,"{'l2': 0.001, 'corr_type': 'pearson'}"
adult_dataset_reader,mlp_auto_reg_initializer,mcc_odds,0.4853027015754219,0.8462133775566612,0.5712777355326566,0.0859750339572346,0.1851414908369932,0.0904590818363273,"{'l2': 0.0001, 'corr_type': 'none'}"
adult_dataset_reader,mlp_auto_reg_initializer,mcc_opportunity,0.4732461265961568,0.8507462686567164,0.5740749752853439,0.0879006827715034,0.1900935808112186,0.100828848689187,"{'l2': 0.0001, 'corr_type': 'none'}"
adult_dataset_reader,mlp_auto_reg_initializer,acc_parity,0.6607593933481415,0.8499723604201216,0.5733149403237996,0.1070851192752773,0.1892129670719801,0.1348156767946921,"{'l2': 0.01, 'corr_type': 'spearman'}"
adult_dataset_reader,mlp_auto_reg_initializer,acc_odds,0.7792314966785278,0.8474295190713101,0.5686751860550779,0.0681980223927824,0.1704503521065408,0.063184641445511,"{'l2': 0.01, 'corr_type': 'spearman'}"
adult_dataset_reader,mlp_auto_reg_initializer,mcc_parity,0.3773164760625389,0.8475400773908237,0.5716688969502838,0.1062391483961802,0.1943524208877448,0.1261310139767952,"{'l2': 0.001, 'corr_type': 'pearson'}"
adult_dataset_reader,mlp_auto_reg_initializer,mcc_odds,0.5172655280392771,0.8515201768933113,0.5874401518214796,0.0701746237822024,0.1846726522222899,0.0654456739676658,"{'l2': 0.001, 'corr_type': 'spearman'}"
adult_dataset_reader,mlp_auto_reg_initializer,mcc_opportunity,0.4650753577162063,0.8403537866224433,0.562828030333321,0.0959304751310795,0.2069946815214378,0.0977526726171146,"{'l2': 0.01, 'corr_type': 'none'}"
adult_dataset_reader,mlp_auto_reg_initializer,acc_parity,0.6735703743425057,0.8415699281370923,0.5529206106987326,0.0528614772563554,0.1679995537945867,0.0359717917905255,"{'l2': 0.001, 'corr_type': 'spearman'}"
adult_dataset_reader,mlp_auto_reg_initializer,acc_odds,0.749763345218492,0.8490878938640133,0.5770851441791099,0.0993245486455213,0.1923631087176665,0.1178431178431178,"{'l2': 0.0001, 'corr_type': 'pearson'}"
adult_dataset_reader,mlp_auto_reg_initializer,acc_opportunity,0.788431826938755,0.8519624101713654,0.5823458122082351,0.0706119751651079,0.1749771293179925,0.0635305832326104,"{'l2': 0.0001, 'corr_type': 'pearson'}"
bank_dataset_reader,mlp_auto_reg_initializer,mcc_parity,0.4654845602533008,0.9048868481469334,0.5299262630119393,0.0297687653507838,0.0644417027586384,0.0521739130434782,"{'l2': 0.001, 'corr_type': 'none'}"
bank_dataset_reader,mlp_auto_reg_initializer,mcc_odds,0.4915219399951888,0.9081666120039356,0.5533433033513061,0.0618213633561173,0.0741516765857536,0.0756718528995756,"{'l2': 0.0001, 'corr_type': 'pearson'}"
bank_dataset_reader,mlp_auto_reg_initializer,mcc_opportunity,0.4049242271483891,0.9019350606756312,0.4976309554483378,0.0623935791224961,0.0757933113045389,0.0927067282999486,"{'l2': 0.01, 'corr_type': 'spearman'}"
bank_dataset_reader,mlp_auto_reg_initializer,acc_parity,0.8035410807365162,0.8963594621187274,0.5122779453366836,0.0455599022633155,0.0928183813822111,0.0549160218909228,"{'l2': 0.0001, 'corr_type': 'none'}"
bank_dataset_reader,mlp_auto_reg_initializer,acc_odds,0.7568996438955149,0.8983273204329288,0.4958011974817755,0.1414276765374139,0.1511696894596522,0.2009562841530054,"{'l2': 0.01, 'corr_type': 'none'}"
bank_dataset_reader,mlp_auto_reg_initializer,acc_opportunity,0.7729103821985135,0.9014430960970812,0.5148815606221405,0.0821060179492766,0.1086423216417291,0.1285327138985675,"{'l2': 0.0001, 'corr_type': 'none'}"
compas_dataset_reader,mlp_auto_reg_initializer,mcc_parity,0.101823077322364,0.6661264181523501,0.3201929070060624,0.2011922739732713,0.2183698296836983,0.1850305960565083,"{'l2': 0.001, 'corr_type': 'pearson'}"
compas_dataset_reader,mlp_auto_reg_initializer,mcc_odds,0.1409670808837377,0.6547811993517018,0.3055637871921604,0.1645967063084226,0.1878717370755471,0.1788872901678657,"{'l2': 0.01, 'corr_type': 'spearman'}"
