dataset,method,fitness_rule,fitness,ACC,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff,solution
adult_dataset_reader,mlp_kreg_initializer,mcc_parity,0.3897382728972962,0.849861802100608,0.5791462918843128,0.0722086557225596,0.1894080189870165,0.0553230127247436,"{'l2': 0.01, 'dropout': 0.02582051226617476}"
adult_dataset_reader,mlp_kreg_initializer,mcc_odds,0.4591756589927009,0.8438916528468767,0.565204453396199,0.106028794403498,0.1946701204542377,0.1239323248508093,"{'l2': 0.01, 'dropout': 0.058718718559916616}"
adult_dataset_reader,mlp_kreg_initializer,mcc_opportunity,0.5264021391278231,0.8556108347153123,0.5982762105469857,0.0709282443414421,0.1799174916594371,0.0718740714191625,"{'l2': 0.001, 'dropout': 0.11363242092591855}"
adult_dataset_reader,mlp_kreg_initializer,acc_parity,0.657937319731829,0.8505251520176893,0.5866951473764521,0.0964503606697287,0.1925878322858602,0.1113853939940896,"{'l2': 0.01, 'dropout': 0.14396715458275022}"
adult_dataset_reader,mlp_kreg_initializer,acc_odds,0.7230342835878877,0.8493090105030403,0.5795606021721986,0.1262747269151526,0.2023809523809523,0.161034370829877,"{'l2': 0.01, 'dropout': 0.05820540968833299}"
adult_dataset_reader,mlp_kreg_initializer,acc_opportunity,0.730295787242676,0.8476506357103372,0.5822178170525315,0.0983433342048226,0.196334070334295,0.1173548484676612,"{'l2': 0.0001, 'dropout': 0.08608628257964557}"
bank_dataset_reader,mlp_kreg_initializer,mcc_parity,0.5060302992560354,0.9016070842899312,0.5426555363529706,0.0713108219236632,0.0366252370969352,0.1175702657041929,"{'l2': 0.0001, 'dropout': 0.12441032344036364}"
bank_dataset_reader,mlp_kreg_initializer,mcc_odds,0.4042662605693374,0.9020990488684816,0.5157835009247065,0.111517240355369,0.1176032788749282,0.1575837955148299,"{'l2': 0.01, 'dropout': 0.12201908784588818}"
bank_dataset_reader,mlp_kreg_initializer,mcc_opportunity,0.4296395379500325,0.9047228599540832,0.5076376493759059,0.0589206380022343,0.0868523530711444,0.0779981114258734,"{'l2': 0.0001, 'dropout': 0.1840636645083672}"
bank_dataset_reader,mlp_kreg_initializer,acc_parity,0.7923823163860266,0.8983273204329288,0.5298375233162937,0.0714311306140242,0.1059450040469021,0.0997088248469464,"{'l2': 0.0001, 'dropout': 0.058277872466908444}"
bank_dataset_reader,mlp_kreg_initializer,acc_odds,0.86138450902885,0.9102984585109872,0.5477136900123907,0.0489139494821372,0.0843500840821044,0.0885672467067815,"{'l2': 0.001, 'dropout': 0.1999563355253872}"
bank_dataset_reader,mlp_kreg_initializer,acc_opportunity,0.8762629575519049,0.9050508363397836,0.5251197099401379,0.0250946798671197,0.0521628928692125,0.0287878787878786,"{'l2': 0.001, 'dropout': 0.06340546150023751}"
compas_dataset_reader,mlp_kreg_initializer,mcc_parity,0.0910134934913157,0.6442463533225283,0.2759723848566475,0.1698414302678265,0.1849588913653318,0.070085579724752,"{'l2': 0.01, 'dropout': 0.04555721986809146}"
compas_dataset_reader,mlp_kreg_initializer,mcc_odds,0.1388111434238832,0.660453808752026,0.3105397368119194,0.1717285933880361,0.1719815668202764,0.0724839247439866,"{'l2': 0.01, 'dropout': 0.07203755764841106}"
compas_dataset_reader,mlp_kreg_initializer,mcc_opportunity,0.1968158635445021,0.6636952998379254,0.3153107890465534,0.1692175654417834,0.1923785983703068,0.1184949255020513,"{'l2': 0.0001, 'dropout': 0.19016459190801444}"
compas_dataset_reader,mlp_kreg_initializer,acc_parity,0.4900925426902648,0.6507293354943274,0.2841530981462938,0.128408461804146,0.1606367928040626,0.1199927431059506,"{'l2': 0.01, 'dropout': 0.12275895819436798}"
compas_dataset_reader,mlp_kreg_initializer,acc_odds,0.4894694006500327,0.6539708265802269,0.3023522754096481,0.1645014259301941,0.1867621426654437,0.0820010618842547,"{'l2': 0.0001, 'dropout': 0.13073462307162606}"
compas_dataset_reader,mlp_kreg_initializer,acc_opportunity,0.4828007329154543,0.63290113452188,0.2591594224890754,0.2104198689184729,0.2183246562230055,0.1501004016064256,"{'l2': 0.0001, 'dropout': 0.03796876197291826}"
german_dataset_reader,mlp_kreg_initializer,mcc_parity,0.1137573586720661,0.7,0.2687038666658153,0.1537202380952381,0.1549465079937492,0.0907738095238095,"{'l2': 0.01, 'dropout': 0.01015794814707121}"
german_dataset_reader,mlp_kreg_initializer,mcc_odds,0.1872821228957032,0.71,0.3097695862976901,0.1224874634019869,0.140625,0.0406015037593985,"{'l2': 0.01, 'dropout': 0.054004429251807845}"
german_dataset_reader,mlp_kreg_initializer,mcc_opportunity,0.1984881314378756,0.725,0.2572002526499968,0.0571338383838384,0.0414438502673796,0.0587121212121212,"{'l2': 0.01, 'dropout': 0.09942292536658726}"
german_dataset_reader,mlp_kreg_initializer,acc_parity,0.5352945301542776,0.705,0.3167582259165622,0.168166860240031,0.1697054698457223,0.1815718157181571,"{'l2': 0.0001, 'dropout': 0.1384008599971069}"
